"GUID","CONTENT","ENTITY"
"malayalam-wikipedia","Malayalam (/ˌmələˈjɑːləm/;[6] Malayalam: മലയാളം, Malayāḷam ?, [mələjaːɭəm]) is a Dravidian language spoken in the Indian state of Kerala and the union territories of Lakshadweep and Puducherry (Mahé district) by the Malayali people. It is one of 22 scheduled languages of India spoken by nearly 2.88% of Indians. Malayalam has official language status in the state of Kerala and in the union territories of Lakshadweep and Puducherry (Mahé)[7][8][9] and is spoken by 37 million people worldwide. Malayalam is also spoken by linguistic minorities in the neighbouring states; with significant number of speakers in the Nilgiris, Kanyakumari, and Coimbatore, Tenkasi, Theni districts of Tamil Nadu and Kodaguand Dakshina Kannada districts of Karnataka. Due to Malayali expatriates in the Persian Gulf, the language is also widely spoken in Gulf countries. The origin of Malayalam remains a matter of dispute among scholars. One view holds that Malayalam and modern Tamil are offshoots of Middle Tamil and separated from it sometime after the c. 7th century AD. A second view argues for the development of the two languages out of Proto-Dravidian or Proto-Tamil-Malayalam in the prehistoric era.[10][11] Designated a Classical Language in India in 2013,[12] it developed into the current form mainly by the influence of the poet Thunchaththu Ezhuthachan in the 16th century. The oldest documents written purely in Malayalam and still surviving are the Vazhappalli Copper plates from 832 AD and Tharisapalli Copper plates from 849 AD. The earliest script used to write Malayalam was the Vatteluttu alphabet, and later the Kolezhuttu, which derived from it.[13][unreliable source?] The current Malayalam script is based on the Vatteluttu script, which was extended with Grantha script letters to adopt Indo-Aryan loanwords.[14][15] The oldest literary work in Malayalam, distinct from the Tamil tradition, is dated from between the 9th and 11th centuries.[10] The first travelogue in any Indian language is the Malayalam Varthamanappusthakam, written by Paremmakkal Thoma Kathanar in 1785.[16][17]","language-related"
"singapore-wikipedia","Singapore (/ˈsɪŋ(ɡ)əpɔːr/ (About this soundlisten)), officially the Republic of Singapore, is a sovereign city-state and island country located in maritime Southeast Asia. Singapore lies about one degree of latitude (137 kilometres or 85 miles) north of the equator, and is situated off the southern tip of the Malay peninsula, and, by extension, the southernmost extremity of continental Eurasia. The island country is wedged between western Indonesia and peninsular Malaysia, sharing its southern maritime border with the Batam, Bintan, and Karimun archipelago of the former's Riau Islands province, and its northern, western, and eastern maritime borders with the latter's Johor state; it is additionally in the vicinity of Sumatra to its west and Borneo to its east. The island country is enveloped by the littoral waters of the Johore Strait to its north and the Singapore Strait to its south, and is geographically positioned within the confluence of the Indian and Pacific Oceans, being bounded by the Malacca Strait to its west and the South China Sea to its east. The country's territory, which is archipelagic, is composed of one main island, 63 satellite islands and islets, and one outlying islet, the combined area of which has increased by 25% since the country's independence as a result of extensive land reclamation projects. Throughout its millennia-long history, Singapore was a maritime emporium that fell under the suzerainty of several successive Malay polities: initially a series of ancient to medieval Hindu-Buddhist thalassocratic empires, subsequently a medieval localised Hindu-Buddhist kingdom, and ultimately two early modern Islamic sultanates.[14][Note 8] The 1819 arrival of Stamford Raffles, a British colonial officer, and the subsequent establishment of a British East India Company trading post on the island—then part of the Johor Sultanate—marked the genesis of modern Singapore. Five years later, the British and Dutch East India companies partitioned the Sultanate, with the British coercively wresting Singapore from the Sultan in the process, marking the cessation of indigenous rule over the island for the first time in its history. In 1826, Singapore was incorporated into the Straits Settlements, a pan-Malayan presidency of the Company with Penang as capital,[15][Note 9] and in 1830, the Settlements were annexed to British India as a residency, where they would be governed from the capital of Calcutta under two administrations—until 1858 under Company rule, and—following the Company's collapse in the wake of the 1857 Indian Rebellion—until 1867 under the successive British Raj. In 1867, the administration of the Settlements was transferred to London, bringing them under the direct control of the United Kingdom as a Malayan crown colony.[16][17][18]. From 1867 to the 1940s, Singapore, having taken over Penang as capital of the Settlements, grew into a thriving entrepôt and settler-colony under the auspices of the British Empire, attracting large numbers of non-indigenous settlers and sojourners from the region and beyond.[19] During the Second World War, Imperial Japan invaded and annexed Singapore, resulting in an interregnum of British colonial rule corresponding with a brief but bloody Japanese occupation from 1942 to 1945. Following Japan's surrender in 1945, Singapore was returned to British control; in 1946, the Straits Settlements were dissolved, and Singapore became a standalone crown colony. In 1959, following a protracted period of agitation against colonial rule, Singapore was granted limited autonomy; in 1963, it became fully emancipated from the British Empire upon its federation with the territories of the erstwhile British Malaya and British Borneo to form the new country of Malaysia.[Note 10] However, after two tumultuous years as a constituent state of the Malaysian Federation, marred by violent ethnoreligious strife and other intractable differences between indigenous and non-indigenous groups, Singapore was expelled in 1965, becoming the first country in modern history to gain independence against its will—although this narrative remains contentious.[Note 11] After early years of turbulence, the newly sovereign nation—viewed as a nonviable state by international observers due to its diminutiveness, geostrategic vulnerability, absence of natural resources, and lack of a hinterland—defied odds by rapidly developing and industrialising under the leadership of the inaugural People's Action Party to become a high-income economy and developed country within a single generation. Singapore is a unitary parliamentary constitutional republic with a unicameral legislature that has been characterised by dominant-party rule since independence. It is considered a soft authoritarian technocratic state; the Economist Intelligence Unit rated Singapore a flawed democracy in 2019.[21] It is the only truly sovereign city-state in the world; it has its own currency and a well-funded military that is considered the most advanced in Southeast Asia.[22] The country is home to 5.6 million residents, 61% (3.4 million) of whom are Singaporeans; as a legacy of its historical nature as an entrepôt and settler-colony, modern Singapore is a pluralistic country with a racially, culturally, and religiously diverse citizenry,[23][24] with one indigenous ethnic group, the Malays, and two settler-descended ethnic groups, the Chinese and Indians, forming the historical and contemporary core of the citizen populace. As a reflection of this pluralism, multiracialism has been enshrined as a foundational principle of the state, and has shaped the country's politics and national policies. The country, which is Anglophone, has four official languages: English, Malay, Chinese, and Tamil; Malay, as the ancestral language of the country, is accorded protected status in the country's constitution as the national language, while English is the lingua franca, being spoken as a common tongue by the vast majority of Singaporeans. The country is one of the five founding members of ASEAN, is the headquarters of the Asia-Pacific Economic Cooperation (APEC) Secretariat and Pacific Economic Cooperation Council (PECC) Secretariat,[25] is a member of the United Nations, World Trade Organization, East Asia Summit, Non-Aligned Movement, and the Commonwealth of Nations, and is a recurrent guest invitee to the annual G20 summit.[26] It is the most developed sovereign nation in Asia, being ranked 9th on the UN Human Development Index, and has the 7th highest GDP per capita in the world.[27][28] It is also considered by Transparency International to be the most incorruptible nation in Asia, and the fifth most incorruptible worldwide. Singapore is placed highly in key social indicators: education, healthcare, quality of life, personal safety and housing, with a home-ownership rate of 91%. Singaporeans enjoy one of the world's longest life expectancies and one of the lowest infant mortality rates in the world.[29] As a city, Singapore is classified as an Alpha+ global city, and is the only country in Asia with an AAA sovereign rating from all major rating agencies. It is a major financial and shipping hub, consistently ranked the most expensive city to live in since 2013, and has been identified as a tax haven.[30][31] Singapore is also a popular tourist destination, with well-known landmarks such as the Merlion, Marina Bay Sands, Gardens by the Bay, the Jewel, the Orchard Road shopping belt, the resort island of Sentosa, and the Singapore Botanic Gardens, the only tropical garden in the world to be honoured as a UNESCO World Heritage Site.[32][33]","country-related"
"malaysia-wikipedia","Malaysia (/məˈleɪziə, -ʒə/ (About this soundlisten) mə-LAY-zee-ə, -⁠zhə; Malay: [məlejsiə]) is a country in Southeast Asia. The federal constitutional monarchy consists of thirteen states and three federal territories, separated by the South China Sea into two regions, Peninsular Malaysia and Borneo's East Malaysia. Peninsular Malaysia shares a land and maritime border with Thailand and maritime borders with Singapore, Vietnam, and Indonesia. East Malaysia shares land and maritime borders with Brunei and Indonesia and a maritime border with the Philippines and Vietnam. Kuala Lumpur is the national capital and largest city while Putrajaya is the seat of the federal government. With a population of over 30 million, Malaysia is the world's 44th most populous country. The southernmost point of continental Eurasia is in Tanjung Piai. In the tropics, Malaysia is one of 17 megadiverse countries, home to a number of endemic species. Malaysia has its origins in the Malay kingdoms which, from the 18th century, became subject to the British Empire, along with the British Straits Settlements protectorate. Peninsular Malaysia was unified as the Malayan Union in 1946. Malaya was restructured as the Federation of Malaya in 1948 and achieved independence on 31 August 1957. Malaya united with North Borneo, Sarawak, and Singapore on 16 September 1963 to become Malaysia. In 1965, Singapore was expelled from the federation.[12]. The country is multi-ethnic and multi-cultural. About half the population is ethnically Malay, with large minorities of Chinese, Indians, and indigenous peoples. While recognising Islam as the country's established religion, the constitution grants freedom of religion to non-Muslims. The government is closely modelled on the Westminster parliamentary system and the legal system is based on common law. The head of state is an elected monarch, known as Yang di-Pertuan Agong, chosen from the hereditary rulers of the nine Malay states every five years. The head of government is the Prime Minister. After independence, the Malaysian GDP grew at an average of 6.5% per annum for almost 50 years. The economy has traditionally been fuelled by its natural resources but is expanding in the sectors of science, tourism, commerce and medical tourism. Malaysia has a newly industrialised market economy, ranked third-largest in Southeast Asia and 33rd largest in the world.[13] It is a founding member of ASEAN, EAS, OIC and a member of APEC, the Commonwealth and the Non-Aligned Movement." "country-related"
"brain-wikipedia","A brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals. It is located in the head, usually close to the sensory organs for senses such as vision. It is the most complex organ in a vertebrate's body. In a human, the cerebral cortex contains approximately 14–16 billion neurons,[1] and the estimated number of neurons in the cerebellum is 55–70 billion.[2] Each neuron is connected by synapses to several thousand other neurons. These neurons communicate with one another by means of long protoplasmic fibers called axons, which carry trains of signal pulses called action potentials to distant parts of the brain or body targeting specific recipient cells. Physiologically, brains exert centralized control over a body's other organs. They act on the rest of the body both by generating patterns of muscle activity and by driving the secretion of chemicals called hormones. This centralized control allows rapid and coordinated responses to changes in the environment. Some basic types of responsiveness such as reflexes can be mediated by the spinal cord or peripheral ganglia, but sophisticated purposeful control of behavior based on complex sensory input requires the information integrating capabilities of a centralized brain. The operations of individual brain cells are now understood in considerable detail but the way they cooperate in ensembles of millions is yet to be solved.[3] Recent models in modern neuroscience treat the brain as a biological computer, very different in mechanism from an electronic computer, but similar in the sense that it acquires information from the surrounding world, stores it, and processes it in a variety of ways. This article compares the properties of brains across the entire range of animal species, with the greatest attention to vertebrates. It deals with the human brain insofar as it shares the properties of other brains. The ways in which the human brain differs from other brains are covered in the human brain article. Several topics that might be covered here are instead covered there because much more can be said about them in a human context. The most important is brain disease and the effects of brain damage, that are covered in the human brain article.","human-related"
"music-wikipedia","Music is an art form, and cultural activity, whose medium is sound. General definitions of music include common elements such as pitch (which governs melody and harmony), rhythm (and its associated concepts tempo, meter, and articulation), dynamics (loudness and softness), and the sonic qualities of timbre and texture (which are sometimes termed the color of a musical sound). Different styles or types of music may emphasize, de-emphasize or omit some of these elements. Music is performed with a vast range of instruments and vocal techniques ranging from singing to rapping; there are solely instrumental pieces, solely vocal pieces (such as songs without instrumental accompaniment) and pieces that combine singing and instruments. The word derives from Greek μουσική (mousike; art of the Muses).[1] See glossary of musical terminology. In its most general form, the activities describing music as an art form or cultural activity include the creation of works of music (songs, tunes, symphonies, and so on), the criticism of music, the study of the history of music, and the aesthetic examination of music. Ancient Greek and Indian philosophers defined music as tones ordered horizontally as melodies and vertically as harmonies. Common sayings such as the harmony of the spheres and it is music to my ears point to the notion that music is often ordered and pleasant to listen to. However, 20th-century composer John Cage thought that any sound can be music, saying, for example, There is no noise, only sound.[2]. The creation, performance, significance, and even the definition of music vary according to culture and social context. Indeed, throughout history, some new forms or styles of music have been criticized as not being music, including Beethoven's Grosse Fuge string quartet in 1825,[3] early jazz in the beginning of the 1900s[4] and hardcore punk in the 1980s.[5] There are many types of music, including popular music, traditional music, art music, music written for religious ceremonies and work songs such as chanteys. Music ranges from strictly organized compositions–such as Classical music symphonies from the 1700s and 1800s, through to spontaneously played improvisational music such as jazz, and avant-garde styles of chance-based contemporary music from the 20th and 21st centuries. Music can be divided into genres (e.g., country music) and genres can be further divided into subgenres (e.g., country blues and pop country are two of the many country subgenres), although the dividing lines and relationships between music genres are often subtle, sometimes open to personal interpretation, and occasionally controversial. For example, it can be hard to draw the line between some early 1980s hard rock and heavy metal. Within the arts, music may be classified as a performing art, a fine art or as an auditory art. Music may be played or sung and heard live at a rock concert or orchestra performance, heard live as part of a dramatic work (a music theater show or opera), or it may be recorded and listened to on a radio, MP3 player, CD player, smartphone or as film score or TV show. In many cultures, music is an important part of people's way of life, as it plays a key role in religious rituals, rite of passage ceremonies (e.g., graduation and marriage), social activities (e.g., dancing) and cultural activities ranging from amateur karaoke singing to playing in an amateur funk band or singing in a community choir. People may make music as a hobby, like a teen playing cello in a youth orchestra, or work as a professional musician or singer. The music industry includes the individuals who create new songs and musical pieces (such as songwriters and composers), individuals who perform music (which include orchestra, jazz band and rock band musicians, singers and conductors), individuals who record music (music producers and sound engineers), individuals who organize concert tours, and individuals who sell recordings, sheet music, and scores to customers. Even once a song or piece has been performed, music critics, music journalists, and music scholars may assess and evaluate the piece and its performance.","music-related"
"guitar-wikipedia","The guitar is a fretted musical instrument that usually has six strings.[1] It is typically played with both hands by strumming or plucking the strings with either a guitar pick or the fingers/fingernails of one hand, while simultaneously fretting (pressing the strings against the frets) with the fingers of the other hand. The sound of the vibrating strings is projected either acoustically, by means of the hollow chamber of the guitar (for an acoustic guitar), or through an electrical amplifier and a speaker. The guitar is a type of chordophone, traditionally constructed from wood and strung with either gut, nylon or steel strings and distinguished from other chordophones by its construction and tuning. The modern guitar was preceded by the gittern, the vihuela, the four-course Renaissance guitar, and the five-course baroque guitar, all of which contributed to the development of the modern six-string instrument. There are three main types of modern acoustic guitar: the classical guitar (Spanish guitar/nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a jazz guitar. The tone of an acoustic guitar is produced by the strings' vibration, amplified by the hollow body of the guitar, which acts as a resonating chamber. The classical guitar is often played as a solo instrument using a comprehensive finger-picking technique where each string is plucked individually by the player's fingers, as opposed to being strummed. The term finger-picking can also refer to a specific tradition of folk, blues, bluegrass, and country guitar playing in the United States. The acoustic bass guitar is a low-pitched instrument that is one octave below a regular guitar. Electric guitars, introduced in the 1930s, use an amplifier and a loudspeaker that both makes the sound of the instrument loud enough for the performers and audience to hear, and, given that it produces an electric signal when played, that can electronically manipulate and shape the tone using an equalizer (e.g., bass and treble tone controls) and a huge variety of electronic effects units, the most commonly used ones being distortion (or overdrive) and reverb. Early amplified guitars employed a hollow body, but solid wood guitars began to dominate during the 1960s and 1970s, as they are less prone to unwanted acoustic feedback howls. As with acoustic guitars, there are a number of types of electric guitars, including hollowbody guitars, archtop guitars (used in jazz guitar, blues and rockabilly) and solid-body guitars, which are widely used in rock music. The loud, amplified sound and sonic power of the electric guitar played through a guitar amp has played a key role in the development of blues and rock music, both as an accompaniment instrument (playing riffs and chords) and performing guitar solos, and in many rock subgenres, notably heavy metal music and punk rock. The electric guitar has had a major influence on popular culture. The guitar is used in a wide variety of musical genres worldwide. It is recognized as a primary instrument in genres such as blues, bluegrass, country, flamenco, folk, jazz, jota, mariachi, metal, punk, reggae, rock, soul, and pop.","music-related"
"nj-wikipedia","New Jersey is a state in the Mid-Atlantic region of the Northeastern United States. It is bordered on the north and east by the state of New York; on the east, southeast, and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by Delaware Bay and the State of Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous, with 8,882,190 residents as of 2019 and an area of 8,722.58 square miles, making it the most densely populated of the 50 U.S. states, with its biggest city being Newark. New Jersey lies completely within the combined statistical areas of New York City and Philadelphia. New Jersey was the second-wealthiest U.S. state by median household income as of 2017.[20]. New Jersey was inhabited by Native Americans for more than 2,800 years, with historical tribes such as the Lenape along the coast. In the early 17th century, the Dutch and the Swedes founded the first European settlements in the state.[21] The English later seized control of the region,[22] naming it the Province of New Jersey after the largest of the Channel Islands, Jersey,[23] and granting it as a colony to Sir George Carteret and John Berkeley, 1st Baron Berkeley of Stratton. New Jersey was the site of several important battles during the American Revolutionary War in the 18th century. In the 19th century, factories in the cities Camden, Paterson, Newark, Trenton, Jersey City, and Elizabeth (known as the Big Six[24]), helped drive the Industrial Revolution. New Jersey's geographic location at the center of the Northeast megalopolis, between Boston and New York City to the northeast, and Philadelphia, Baltimore, and Washington, D.C., to the southwest, fueled its rapid growth through the process of suburbanization in the second half of the 20th century. At the turn of the 21st century, this suburbanization began reverting with the consolidation of New Jersey's culturally diverse populace toward more urban settings within the state,[25][26] with towns home to commuter rail stations outpacing the population growth of more automobile-oriented suburbs since 2008.[27]. As of 2018, New Jersey was home to the highest number of millionaires per capita of all U.S. states.[28] New Jersey's public school system consistently ranks at or among the top of all fifty U.S. states.[29][30][31]","country-related" 
"nyc-wikipedia","New York City (NYC), often called the City of New York or simply New York (NY), is the most populous city in the United States. With an estimated 2018 population of 8,398,748 distributed over about 302.6 square miles (784 km2), New York is also the most densely populated major city in the United States.[10] Located at the southern tip of the U.S. state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass.[11] With almost 20 million people in its metropolitan statistical area and approximately 23 million in its combined statistical area, it is one of the world's most populous megacities. New York City has been described as the cultural, financial, and media capital of the world, significantly influencing commerce,[12] entertainment, research, technology, education, politics, tourism, art, fashion, and sports. Home to the headquarters of the United Nations,[13] New York is an important center for international diplomacy.[14][15]. Situated on one of the world's largest natural harbors, New York City is composed of five boroughs, each of which is a county of the State of New York.[16] The five boroughs–Brooklyn, Queens, Manhattan, the Bronx, and Staten Island–were consolidated into a single city in 1898.[17] The city and its metropolitan area constitute the premier gateway for legal immigration to the United States. As many as 800 languages are spoken in New York,[18] making it the most linguistically diverse city in the world. New York is home to more than 3.2 million residents born outside the United States,[19] the largest foreign-born population of any city in the world as of 2016.[20][21] As of 2019, the New York metropolitan area is estimated to produce a gross metropolitan product (GMP) of $2.0 trillion. If greater New York City were a sovereign state, it would have the 12th highest GDP in the world.[22] New York is home to the highest number of billionaires of any city in the world. New York City traces its origins to a trading post founded by colonists from the Dutch Republic in 1624 on Lower Manhattan; the post was named New Amsterdam in 1626.[23] The city and its surroundings came under English control in 1664[23] and were renamed New York after King Charles II of England granted the lands to his brother, the Duke of York.[24] New York was the capital of the United States from 1785 until 1790,[25] and has been the largest U.S. city since 1790.[26] The Statue of Liberty greeted millions of immigrants as they came to the U.S. by ship in the late 19th and early 20th centuries[27] and is a symbol of the U.S. and its ideals of liberty and peace.[28] In the 21st century, New York has emerged as a global node of creativity and entrepreneurship[29] and environmental sustainability,[30][31] and as a symbol of freedom and cultural diversity.[32] In 2019, New York was voted the greatest city in the world per a survey of over 30,000 people from 48 cities worldwide, citing its cultural diversity.[33]. Many districts and landmarks in New York City are well known, including three of the world's ten most visited tourist attractions in 2013.[34] A record 62.8 million tourists visited New York City in 2017. Times Square is the brightly illuminated hub of the Broadway Theater District,[35] one of the world's busiest pedestrian intersections,[36][37] and a major center of the world's entertainment industry.[38] Many of the city's landmarks, skyscrapers,[39] and parks are known around the world. Manhattan's real estate market is among the most expensive in the world.[40][41] New York is home to the largest ethnic Chinese population outside of Asia,[42][43] with multiple distinct Chinatowns across the city. Providing continuous 24/7 service and contributing to the nickname The City that Never Sleeps, the New York City Subway is the largest single-operator rapid transit system worldwide, with 472 rail stations. The city has over 120 colleges and universities, including Columbia University, New York University, and Rockefeller University, ranked among the top universities in the world. Manhattan is home to the world's two largest stock exchanges by total market capitalization, namely the New York Stock Exchange, located on Wall Street in the Financial District of Lower Manhattan, and NASDAQ, headquartered in Midtown Manhattan.","country-related"
"princeton-wikipedia","Princeton is a municipality with a borough form of government in Mercer County, New Jersey, United States, that was established in its current form on January 1, 2013, through the consolidation of the now-defunct Borough of Princeton and Princeton Township. As of the 2010 United States Census, the municipality's population was 28,572, reflecting the former township's population of 16,265, along with the 12,307 in the former borough.[7][8][9][10][11]. Princeton was founded before the American Revolutionary War. It is the home of Princeton University, which bears its name and moved to the community in 1756 from its previous location in Newark. Although its association with the university is primarily what makes Princeton a college town, other important institutions in the area include the Institute for Advanced Study, Westminster Choir College, Princeton Plasma Physics Laboratory, Princeton Theological Seminary, Opinion Research Corporation, Bristol-Myers Squibb, Siemens Corporate Research, SRI International, FMC Corporation, The Robert Wood Johnson Foundation, Amrep, Church and Dwight, Berlitz International, and Dow Jones & Company. Princeton is roughly equidistant from New York City and Philadelphia. It is close to many major highways that serve both cities (e.g. Interstate 95 and U.S. Route 1), and receives major television and radio broadcasts from each. It is also close to Trenton, New Jersey's capital city, and Edison. The New Jersey governor's official residence has been in Princeton since 1945, when Morven in what was then Princeton Borough became the first Governor's mansion. It was later replaced by the larger Drumthwacket, a colonial mansion located in the former Township. Morven became a museum property of the New Jersey Historical Society. Princeton was ranked 15th of the top 100 towns in the United States to Live and Work In by Money magazine in 2005.[17] Throughout much of its history, the community was composed of two separate municipalities: a township and a borough. The central borough was completely surrounded by the township. The borough seceded from the township in 1894 in a dispute over school taxes; the two municipalities later formed the Princeton Public Schools, and some other public services were conducted together before they were reunited into a single Princeton in January 2013. Princeton Borough contained Nassau Street, the main commercial street, most of the University campus, and incorporated most of the urban area until the postwar suburbanization. The borough and township had roughly equal populations.","country-related"
"pop-wikipedia","Pop music is a genre of popular music that originated in its modern forms in the US and the UK during the mid-1950s.[4] The terms popular music and pop music are often used interchangeably, although the former describes all music that is popular and includes many diverse styles. Pop and rock were roughly synonymous terms until the late 1960s, when they became quite separated from each other. Although much of the music that appears on record charts is seen as pop music, the genre is distinguished from chart music. Pop music often borrows elements from other styles such as urban, dance, rock, Latin, and country; nevertheless, there are many key elements that define pop music. Identifying factors usually include short to medium-length songs written in a basic format (often the verse-chorus structure), as well as common use of repeated choruses, melodic tunes and hooks.","music-related"
"thiruvalluvar-wikipedia","Thiruvalluvar, commonly known as Valluvar, was a celebrated Tamil poet and philosopher. He is best known as the author of Thirukkuṛaḷ, a collection of couplets on ethics, political and economical matters, and love. The text is considered an exceptional and widely cherished work of the Tamil literature.[2]. Almost no authentic information is available about Thiruvalluvar, states Kamil Zvelebil – a scholar of Tamil literature.[3] His life and likely background are variously inferred from his literary works by different biographers. There are unauthentic hagiographic and legendary accounts of Thiruvalluvar life, and all major Indian religions, as well as Christian missionaries of the 19th-century, have tried to claim him as secretly inspired (crypto-) or originally belonging to their tradition.[4] Little is known with certainty about his family background, religious affiliation, or birthplace. He is believed to have lived at least in the town of Mylapore (a neighbourhood of the present-day Chennai), and his floruit is dated variously from 4th century BCE to early 6th century CE, based on the traditional accounts and the linguistic analyses of his writings. Maraimalai Adigal gives 31 BCE as the birth year of Valluvar, while Kamil Zvelebil infers the Thirukkuṛaḷ and Thiruvalluvar are best dated to around 500 CE.[5][6]. Valluvar has influenced a wide range of scholars down the ages since his time across the ethical, social, political, economical, religious, philosophical, and spiritual spheres.[7][8] He has long been venerated as a great sage, and his literary works a classic of Tamil culture.[9]","person-related"
"bharathiyar-wikipedia","Chinnaswami Subramania Bharathi,(சின்னசுவாமி சுப்பிரமணிய பாரதி) also known as Bharathiyar (11 December 1882 – 11 September 1921), was a Tamil writer, poet, journalist, Indian independence activist , a social reformer and a polyglot. Popularly known as Mahakavi Bharathi, he was a pioneer of modern Tamil poetry and is considered one of the greatest Tamil literary figures of all time. His numerous works included fiery songs kindling patriotism during the Indian Independence movement.[1]. Born in Ettayapuram of Tirunelveli district (present day Thoothukudi) in 1882, Bharathi had his early education in Tirunelveli and Varanasi and worked as a journalist with many newspapers, including The Hindu, Bala Bharata, Vijaya, Chakravarthini, the Swadesamitran and India. In 1908, an arrest warrant was issued against Bharati by the government of British India for his revolutionary writings, forcing him to flee to Pondicherry (union Territory), where he lived until 1918. Bharathi's influence on Tamil literature is phenomenal. Although it is said that he was proficient in around 14 languages his favorite language was Tamil. He was prolific in his output. He covered political, social and spiritual themes. The songs and poems composed by Bharati are very often used in Tamil cinema and have become staples in the literary and musical repertoire of Tamil artistes throughout the world. He paved the way for modern blank verse.","person-related"
"microsoft-wikipedia","Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. In 2016, it was the world's largest software maker by revenue (currently Alphabet/Google has more revenue).[3] The word Microsoft is a portmanteau of microcomputer and software.[4] Microsoft is ranked No. 30 in the 2018 Fortune 500 rankings of the largest United States corporations by total revenue.[5]. Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Microsoft Windows. The company's 1986 initial public offering (IPO), and subsequent rise in its share price, created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market and has made a number of corporate acquisitions, their largest being the acquisition of LinkedIn for $26.2 billion in December 2016,[6] followed by their acquisition of Skype Technologies for $8.5 billion in May 2011.[7]. As of 2015, Microsoft is market-dominant in the IBM PC compatible operating system market and the office software suite market, although it has lost the majority of the overall operating system market to Android.[8] The company also produces a wide range of other consumer and enterprise software for desktops, laptops, tabs, gadgets, and servers, including Internet search (with Bing), the digital services market (through MSN), mixed reality (HoloLens), cloud computing (Azure), and software development (Visual Studio). Steve Ballmer replaced Gates as CEO in 2000, and later envisioned a devices and services strategy.[9] This unfolded with Microsoft acquiring Danger Inc. in 2008,[10] entering the personal computer production market for the first time in June 2012 with the launch of the Microsoft Surface line of tablet computers, and later forming Microsoft Mobile through the acquisition of Nokia's devices and services division. Since Satya Nadella took over as CEO in 2014, the company has scaled back on hardware and has instead focused on cloud computing, a move that helped the company's shares reach its highest value since December 1999.[11][12]. Earlier dethroned by Apple in 2010, in 2018 Microsoft reclaimed its position as the most valuable publicly traded company in the world.[13] In April 2019, Microsoft reached the trillion-dollar market cap, becoming the third U.S. public company to be valued at over $1 trillion after Apple and Amazon respectively.[14]","corp-related"
"billgates-wikipedia","William Henry Gates III (born October 28, 1955) is an American business magnate, software developer, investor, and philanthropist. He is best known as the co-founder of Microsoft Corporation.[2][3] During his career at Microsoft, Gates held the positions of chairman, chief executive officer (CEO), president and chief software architect, while also being the largest individual shareholder until May 2014. He is one of the best-known entrepreneurs and pioneers of the microcomputer revolution of the 1970s and 1980s. Born and raised in Seattle, Washington, Gates co-founded Microsoft with childhood friend Paul Allen in 1975 in Albuquerque, New Mexico; it went on to become the world's largest personal computer software company.[4][a] Gates led the company as chairman and CEO until stepping down as CEO in January 2000, but he remained chairman and became chief software architect.[7] During the late 1990s, Gates had been criticized for his business tactics, which have been considered anti-competitive. This opinion has been upheld by numerous court rulings.[8] In June 2006, Gates announced that he would be transitioning to a part-time role at Microsoft and full-time work at the Bill & Melinda Gates Foundation, the private charitable foundation that he and his wife, Melinda Gates, established in 2000.[9] He gradually transferred his duties to Ray Ozzie and Craig Mundie.[10] He stepped down as chairman of Microsoft in February 2014 and assumed a new post as technology adviser to support the newly appointed CEO Satya Nadella.[11]. Since 1987, he has been included in the Forbes list of the world's wealthiest documented individuals.[12][13] From 1995 to 2017, he held the Forbes title of the richest person in the world all but four of those years.[1] In October 2017, he was surpassed by Amazon founder and CEO Jeff Bezos, who had an estimated net worth of US$90.6 billion compared to Gates' net worth of US$89.9 billion at the time.[14] As of November 9, 2019, Gates had an estimated net worth of US$107.1 billion, making him the second wealthiest person in the world, behind Bezos. Later in his career and since leaving day-to-day operations at Microsoft in 2008, Gates pursued a number of philanthropic endeavors. He donated large amounts of money to various charitable organizations and scientific research programs through the Bill & Melinda Gates Foundation, reported to be the world's largest private charity.[15] In 2009, Gates and Warren Buffett founded The Giving Pledge, whereby they and other billionaires pledge to give at least half of their wealth to philanthropy.[16] The foundation works to save lives and improve global health, and is working with Rotary International to eliminate polio.[17]","person-related"
